"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC"
"2026/09/03","AAALL","K6","MA","US","IAP"
"2026/09/03","AAAME","K2","CA","US","STAR"
"2026/09/03","AAARG","K","OA","US","CONTROLLER HIGH"
"2026/09/03","AAARG","K","OA","US","CONTROLLER LOW"
"2026/09/03","AAARG","K","OA","US","ENROUTE HIGH"
"2026/09/03","AAARG","K","OA","US","ENROUTE LOW"
"2026/09/03","AAARG","K","OA","US","WESTERN ATLANTIC ROUTE"
"2026/09/03","AAARN","K7","GA","US","CONTROLLER"
"2026/09/03","AAARN","K7","GA","US","ENROUTE LOW"
"2026/09/03","AAARN","K7","GA","US","STAR"
"2026/09/03","AABBZ","K5","KY","US","STAR"
"2026/09/03","AABEE","K7","GA","US","IAP"
"2026/09/03","AABER","K7","FL","US","ENROUTE HIGH"
"2026/09/03","AABER","K7","FL","US","ENROUTE LOW"
"2026/09/03","AABEY","K5","KY","US","IAP"
"2026/09/03","AABEZ","K3","MN","US","IAP"
"2026/09/03","AABGL","K5","IN","US","IAP"
"2026/09/03","AABLE","K5","IL","US","IAP"
"2026/09/03","AACES","K4","OK","US","STAR"
"2026/09/03","AACEZ","K","OA","US","NOT REQUIRED"
"2026/09/03","AADCO","K2","UT","US","CONTROLLER LOW"
"2026/09/03","AADCO","K2","UT","US","ENROUTE LOW"
"2026/09/03","AADCO","K2","UT","US","IAP"
"2026/09/03","AADDY","K6","MD","US","SID"
"2026/09/03","AADEN","K7","GA","US","CONTROLLER HIGH"
"2026/09/03","AADEN","K7","GA","US","CONTROLLER LOW"
"2026/09/03","AADEN","K7","GA","US","ENROUTE HIGH"
"2026/09/03","AADEN","K7","GA","US","ENROUTE LOW"
"2026/09/03","AADEN","K7","GA","US","STAR"
"2026/09/03","AADIE","K5","IN","US","STAR"
"2026/09/03","AADMS","K6","MA","US","CONTROLLER LOW"
"2026/09/03","AADMS","K6","MA","US","ENROUTE LOW"
"2026/09/03","AADMS","K6","MA","US","IAP"
"2026/09/03","AADMS","K6","MA","US","STAR"
"2026/09/03","AADPO","P","AS","US","ENROUTE LOW"
"2026/09/03","AAERO","K2","CO","US","SPECIAL DP"
"2026/09/03","AAERO","K2","CO","US","SPECIAL IAP"
"2026/09/03","AAFRE","K6","PA","US","SPECIAL IAP"
"2026/09/03","AAGEE","K2","CO","US","IAP"
"2026/09/03","AAGIN","K5","IL","US","CONTROLLER LOW"
"2026/09/03","AAGIN","K5","IL","US","ENROUTE LOW"
"2026/09/03","AAHOY","K","OG","US","STAR"
"2026/09/03","AAHZZ","K4","TX","US","STAR"
"2026/09/03","AAIRE","K7","SC","US","STAR"
"2026/09/03","AAIRR","K6","VA","US","SPECIAL IAP"
"2026/09/03","AAITT","PA","AK","US","NOT REQUIRED"
"2026/09/03","AAJAE","K4","LA","US","MILITARY IAP"
"2026/09/03","AAJAY","K5","KY","US","STAR"
"2026/09/03","AAKAY","K7","GA","US","IAP"
"2026/09/03","AAKAY","K7","GA","US","STAR"
